idade,renda_anual,tipo_propriedade,tempo_de_emprego,objetivo,classificacao,valor_emprestimo,taxa_juros,devedor,relacao_emprestimo_renda,foi_inadimplente
31,38000,Alugado,15.0,Empreendimento,A,14400,8.94,1,0.38,N
26,74000,Hipotecado,10.0,Quitação de dívidas,B,1200,12.69,0,0.02,N
47,65000,Alugado,1.0,Quitação de dívidas,C,3100,13.49,0,0.05,S
32,162000,Alugado,5.0,Empreendimento,A,20000,6.99,0,0.12,N
27,69000,Alugado,11.0,Empreendimento,A,2500,7.14,0,0.04,N
30,118000,Alugado,5.0,Reforma Casa,A,10000,7.14,0,0.08,N
22,100000,Hipotecado,7.0,Educação,A,20000,6.91,0,0.2,N
27,55000,Alugado,3.0,Reforma Casa,B,10000,10.25,0,0.18,N
29,76000,Hipotecado,9.0,Quitação de dívidas,D,4400,16.29,1,0.06,S
35,28000,Próprio,3.0,Empreendimento,A,7600,6.62,0,0.27,N
23,130000,Hipotecado,1.0,Educação,C,15000,12.87,0,0.12,S
39,40000,Próprio,4.0,Reforma Casa,A,15000,5.42,0,0.38,N
32,73000,Hipotecado,7.0,Pessoal,A,9600,7.9,0,0.13,N
23,36000,Alugado,0.0,Médico,A,3000,7.29,0,0.08,N
24,50004,Alugado,2.0,Empreendimento,C,10000,13.79,0,0.2,S
27,98000,Hipotecado,11.0,Empreendimento,B,17000,8.88,0,0.17,N
25,44000,Hipotecado,7.0,Pessoal,B,7500,10.08,1,0.17,N
22,73000,Alugado,0.0,Pessoal,D,10000,18.25,1,0.14,S
23,54586,Alugado,5.0,Educação,B,19000,11.14,1,0.35,N
23,14650,Alugado,0.0,Quitação de dívidas,D,1400,15.62,1,0.1,S
30,138000,Hipotecado,13.0,Reforma Casa,B,10000,10.99,1,0.07,N
25,40000,Alugado,9.0,Pessoal,B,13000,10.99,1,0.33,N
22,54996,Hipotecado,3.0,Educação,B,12000,9.63,0,0.22,N
29,89849,Hipotecado,13.0,Educação,C,6000,13.98,0,0.07,S
26,63400,Próprio,0.0,Educação,B,20000,9.62,0,0.32,N
28,66920,Alugado,12.0,Médico,C,5000,14.26,0,0.07,N
26,60000,Hipotecado,10.0,Médico,A,12500,6.92,0,0.21,N
23,55000,Alugado,7.0,Empreendimento,C,8000,13.11,0,0.15,N
25,73000,Alugado,9.0,Pessoal,B,13600,11.99,0,0.19,N
22,70000,Hipotecado,0.0,Educação,D,9600,15.37,0,0.14,N
23,56525,Alugado,1.0,Médico,B,15000,11.48,1,0.23,N
36,33000,Alugado,2.0,Reforma Casa,D,10800,14.96,1,0.33,S
24,96500,Alugado,0.0,Quitação de dívidas,A,6000,7.66,0,0.06,N
22,51000,Hipotecado,6.0,Médico,A,6000,5.79,0,0.12,N
28,35000,Alugado,3.0,Quitação de dívidas,D,7950,15.62,1,0.23,N
25,46392,Alugado,9.0,Quitação de dívidas,D,4000,16.32,1,0.09,S
29,130900,Hipotecado,11.0,Empreendimento,B,4800,11.71,0,0.04,N
